DateTime,Open,High,Low,Close,Volume
2025-04-16 13:15:00+05:30,158.07,159.29,156.75,158.42,1767045
2025-04-16 14:15:00+05:30,158.41,158.9,158.05,158.32,1398039
2025-04-16 15:15:00+05:30,158.32,158.79,158.14,158.34,779476
2025-04-17 09:15:00+05:30,158.4,159.49,157.51,157.81,1419025
2025-04-17 10:15:00+05:30,157.81,159.14,157.8,158.73,749175
2025-04-17 11:15:00+05:30,158.73,159.1,157.83,158.88,976907
2025-04-17 12:15:00+05:30,158.81,159.2,157.92,158.98,909890
2025-04-17 13:15:00+05:30,159.05,159.39,158.5,158.71,732413
2025-04-17 14:15:00+05:30,158.64,159.95,158.53,158.78,1302594
2025-04-17 15:15:00+05:30,158.8,158.94,158.63,158.79,603104
2025-04-21 09:15:00+05:30,159.35,165.19,159.09,164.8,4179651
2025-04-21 10:15:00+05:30,164.73,166.11,164.48,165.4,3149130
2025-04-21 11:15:00+05:30,165.32,165.91,164.96,165.12,2123546
2025-04-21 12:15:00+05:30,165.12,167.2,165.03,167.02,2696867
2025-04-21 13:15:00+05:30,167.02,167.65,166.28,167.41,2043732
2025-04-21 14:15:00+05:30,167.48,168.23,167.12,167.91,3733986
2025-04-21 15:15:00+05:30,167.92,168.68,167.2,167.5,1609058
2025-04-22 09:15:00+05:30,167.9,170.1,165.75,168.85,3980143
2025-04-22 10:15:00+05:30,168.85,169.78,168.61,169.33,1529245
2025-04-22 11:15:00+05:30,169.33,169.85,168.71,169.44,1028243
2025-04-22 12:15:00+05:30,169.54,170.88,169.07,170.61,1606051
2025-04-22 13:15:00+05:30,170.61,171.5,170.02,170.02,1575101
2025-04-22 14:15:00+05:30,170.06,170.42,168.37,168.67,1890215
2025-04-22 15:15:00+05:30,168.62,168.75,168.1,168.3,631332
2025-04-23 09:15:00+05:30,169.09,169.8,167.38,167.38,2070320
2025-04-23 10:15:00+05:30,167.38,168.94,166.25,168.24,2261581
2025-04-23 11:15:00+05:30,168.24,169.8,168.15,169.34,1005360
2025-04-23 12:15:00+05:30,169.35,170.37,168.98,170.22,1035722
2025-04-23 13:15:00+05:30,170.24,171.7,170.07,170.61,1978336
2025-04-23 14:15:00+05:30,170.65,171.0,170.3,170.75,1725358
2025-04-23 15:15:00+05:30,170.76,171.05,169.76,170.1,1046335
2025-04-24 09:15:00+05:30,169.75,171.0,169.05,170.32,1416710
2025-04-24 10:15:00+05:30,170.35,171.29,169.25,171.11,888471
2025-04-24 11:15:00+05:30,171.11,172.1,170.32,171.53,1162589
2025-04-24 12:15:00+05:30,171.53,171.8,170.89,171.21,746138
2025-04-24 13:15:00+05:30,171.21,171.74,170.62,170.68,650710
2025-04-24 14:15:00+05:30,170.68,171.69,170.47,171.0,1114613
2025-04-24 15:15:00+05:30,170.99,171.1,170.1,170.3,456472
2025-04-25 09:15:00+05:30,170.73,171.76,166.01,167.42,2899779
2025-04-25 10:15:00+05:30,167.41,167.48,165.8,167.11,1405505
2025-04-25 11:15:00+05:30,167.21,167.75,166.2,167.46,576034
2025-04-25 12:15:00+05:30,167.56,167.69,167.0,167.45,229339
2025-04-25 13:15:00+05:30,167.45,168.28,166.0,166.88,879985
2025-04-25 14:15:00+05:30,166.85,167.27,165.64,165.84,964604
2025-04-25 15:15:00+05:30,165.84,165.9,163.52,165.5,882653
2025-04-28 09:15:00+05:30,164.86,166.86,163.12,163.85,2098234
2025-04-28 10:15:00+05:30,163.75,164.4,162.5,162.83,1916766
2025-04-28 11:15:00+05:30,162.83,164.78,161.76,163.72,1631920
2025-04-28 12:15:00+05:30,163.68,164.93,163.16,163.98,1408767
2025-04-28 13:15:00+05:30,163.98,164.16,162.12,163.3,1493216
2025-04-28 14:15:00+05:30,163.3,164.39,163.0,164.29,1146951
2025-04-28 15:15:00+05:30,164.3,164.5,164.0,164.1,640024
2025-04-29 09:15:00+05:30,165.7,171.84,165.58,168.3,6654479
2025-04-29 10:15:00+05:30,168.37,170.19,167.0,169.92,2842138
2025-04-29 11:15:00+05:30,169.92,170.2,167.35,168.38,1351610
2025-04-29 12:15:00+05:30,168.29,168.75,167.02,167.93,1731680
2025-04-29 13:15:00+05:30,167.93,168.6,167.66,168.11,767862
2025-04-29 14:15:00+05:30,168.16,168.69,167.52,167.74,1538805
2025-04-29 15:15:00+05:30,167.73,168.45,167.71,168.18,848327
2025-04-30 09:15:00+05:30,167.44,167.84,164.82,165.87,2592450
2025-04-30 10:15:00+05:30,165.88,166.58,163.75,164.64,1396129
2025-04-30 11:15:00+05:30,164.6,164.99,163.53,163.94,657930
2025-04-30 12:15:00+05:30,163.99,165.91,163.76,165.39,961938
2025-04-30 13:15:00+05:30,165.39,166.66,164.5,165.32,766826
2025-04-30 14:15:00+05:30,165.35,166.3,164.79,165.87,1542868
2025-04-30 15:15:00+05:30,165.88,166.1,164.5,165.0,931173
2025-05-02 09:15:00+05:30,168.61,173.43,163.8,165.04,12726520
2025-05-02 10:15:00+05:30,165.1,165.32,162.75,163.18,2659143
2025-05-02 11:15:00+05:30,163.18,163.39,161.31,161.7,2441887
2025-05-02 12:15:00+05:30,161.61,162.2,161.15,161.9,1577967
2025-05-02 13:15:00+05:30,161.9,162.65,161.4,161.99,1809313
2025-05-02 14:15:00+05:30,162.0,162.25,161.5,161.65,1840976
2025-05-02 15:15:00+05:30,161.7,162.4,161.24,162.04,2248914
2025-05-05 09:15:00+05:30,162.01,165.8,161.31,165.17,3325989
2025-05-05 10:15:00+05:30,165.24,165.88,164.77,165.51,1510234
2025-05-05 11:15:00+05:30,165.56,165.9,164.81,165.65,808653
2025-05-05 12:15:00+05:30,165.65,165.65,164.35,164.5,779688
2025-05-05 13:15:00+05:30,164.5,165.14,164.35,164.71,374770
2025-05-05 14:15:00+05:30,164.66,164.99,164.0,164.44,576320
2025-05-05 15:15:00+05:30,164.44,164.57,164.26,164.35,601640
2025-05-06 09:15:00+05:30,164.15,166.0,161.3,161.55,2074470
2025-05-06 10:15:00+05:30,161.55,161.62,160.2,160.31,1115177
2025-05-06 11:15:00+05:30,160.31,160.31,159.15,159.84,1097266
2025-05-06 12:15:00+05:30,159.84,159.84,158.4,158.75,942492
2025-05-06 13:15:00+05:30,158.79,158.88,157.87,158.04,679338
2025-05-06 14:15:00+05:30,158.02,158.02,157.05,157.31,1683442
2025-05-06 15:15:00+05:30,157.43,157.49,157.2,157.28,640270
2025-05-07 09:15:00+05:30,155.2,159.5,155.01,156.07,2605647
2025-05-07 10:15:00+05:30,156.01,158.71,155.72,158.6,992989
2025-05-07 11:15:00+05:30,158.62,159.89,158.62,159.46,933389
2025-05-07 12:15:00+05:30,159.46,159.74,157.95,158.21,337022
2025-05-07 13:15:00+05:30,158.2,159.45,157.92,158.99,518431
2025-05-07 14:15:00+05:30,158.93,159.44,158.27,159.43,592249
2025-05-07 15:15:00+05:30,159.44,159.97,159.0,159.66,454096
2025-05-08 09:15:00+05:30,159.74,162.34,159.6,161.9,1235900
